Iterations,Elapsed time,Pressure,Filtered Pressure,Raw Pressure,Raw Temperature,Filtered
102,61.0,942.49915,942.49915,7520215,4731136,4731136
103,61.0,942.52631,942.52631,7520241,4731136,4731136
104,61.0,942.52631,942.52631,7520241,4731136,4731136
105,61.0,942.52631,942.52631,7520241,4731136,4731136
106,60.0,942.49915,942.49915,7520215,4731136,4731136
107,63.0,942.52435,942.52435,7520239,4731136,4731136
108,62.0,942.49725,942.49725,7520213,4731136,4731136
109,61.0,942.49725,942.49725,7520213,4731136,4731136
110,63.0,942.49725,942.49725,7520213,4731136,4731136
111,62.0,942.52631,942.52631,7520241,4731136,4731136
112,62.0,942.47333,942.47333,7520190,4731136,4731136
113,63.0,942.52631,942.52631,7520241,4731136,4731136
114,61.0,942.52631,942.52631,7520241,4731136,4731136
115,60.0,942.52631,942.52631,7520241,4731136,4731136
116,62.0,942.49915,942.49915,7520215,4731136,4731136
117,62.0,942.52435,942.52435,7520239,4731136,4731136
118,61.0,942.52435,942.52435,7520239,4731136,4731136
119,61.0,942.52435,942.52435,7520239,4731136,4731136
120,61.0,942.52435,942.52435,7520239,4731136,4731136
121,63.0,942.49725,942.49725,7520213,4731136,4731136
122,62.0,942.52631,942.52631,7520241,4731136,4731136
123,63.0,942.52631,942.52631,7520241,4731136,4731136
124,61.0,942.49915,942.49915,7520215,4731136,4731136
125,61.0,942.52631,942.52631,7520241,4731136,4731136
126,61.0,942.49915,942.49915,7520215,4731136,4731136
127,63.0,942.49915,942.49915,7520215,4731136,4731136
128,62.0,942.49915,942.49915,7520215,4731136,4731136
129,60.0,942.5509,942.5509,7520265,4731136,4731136
130,62.0,942.49725,942.49725,7520213,4731136,4731136
131,61.0,942.49725,942.49725,7520213,4731136,4731136
132,62.0,942.49725,942.49725,7520213,4731136,4731136
133,63.0,942.49915,942.49915,7520215,4731136,4731136
134,62.0,942.49915,942.49915,7520215,4731136,4731136
135,61.0,942.49915,942.49915,7520215,4731136,4731136
136,63.0,942.49915,942.49915,7520215,4731136,4731136
137,61.0,942.49915,942.49915,7520215,4731136,4731136
138,61.0,942.52631,942.52631,7520241,4731136,4731136
139,62.0,942.52435,942.52435,7520239,4731136,4731136
140,60.0,942.52435,942.52435,7520239,4731136,4731136
141,62.0,942.52435,942.52435,7520239,4731136,4731136
142,62.0,942.49725,942.49725,7520213,4731136,4731136
143,62.0,942.52631,942.52631,7520241,4731136,4731136
144,59.0,942.49915,942.49915,7520215,4731136,4731136
